t,field,value,color,status,reason,raw
0.0,SPEED,24.0,NEUTRAL,OK,near_reference,"{reference_kmh=24.0, age_s=0.0}"
0.0,POWER,170,NEUTRAL,OK,power_present,{age_s=0.0}
0.0,HR,135,NEUTRAL,OK,hr_present,{age_s=0.0}
0.0,CADENCE,65,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
0.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
0.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
1.0,SPEED,24.0,NEUTRAL,OK,near_reference,"{reference_kmh=24.0, age_s=0.0}"
1.0,POWER,170,NEUTRAL,OK,power_present,{age_s=0.0}
1.0,HR,135,NEUTRAL,OK,hr_present,{age_s=0.0}
1.0,CADENCE,65,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
1.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=0.0, grade_display=0.0}"
1.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
2.0,SPEED,24.0,NEUTRAL,OK,near_reference,"{reference_kmh=24.0, age_s=0.0}"
2.0,POWER,170,NEUTRAL,OK,power_present,{age_s=0.0}
2.0,HR,135,NEUTRAL,OK,hr_present,{age_s=0.0}
2.0,CADENCE,65,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
2.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=0.0, grade_display=0.0}"
2.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
3.0,SPEED,24.0,NEUTRAL,OK,near_reference,"{reference_kmh=24.0, age_s=0.0}"
3.0,POWER,170,NEUTRAL,OK,power_present,{age_s=0.0}
3.0,HR,135,NEUTRAL,OK,hr_present,{age_s=0.0}
3.0,CADENCE,65,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
3.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=0.0, grade_display=0.0}"
3.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
4.0,SPEED,24.0,NEUTRAL,OK,near_reference,"{reference_kmh=24.0, age_s=0.0}"
4.0,POWER,170,NEUTRAL,OK,power_present,{age_s=0.0}
4.0,HR,135,NEUTRAL,OK,hr_present,{age_s=0.0}
4.0,CADENCE,65,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
4.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=0.0, grade_display=0.0}"
4.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
5.0,SPEED,24.0,NEUTRAL,OK,near_reference,"{reference_kmh=24.0, age_s=0.0}"
5.0,POWER,170,NEUTRAL,OK,power_present,{age_s=0.0}
5.0,HR,135,NEUTRAL,OK,hr_present,{age_s=0.0}
5.0,CADENCE,65,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
5.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=0.0, grade_display=0.0}"
5.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
6.0,SPEED,24.0,NEUTRAL,OK,near_reference,"{reference_kmh=24.0, age_s=0.0}"
6.0,POWER,170,NEUTRAL,OK,power_present,{age_s=0.0}
6.0,HR,135,NEUTRAL,OK,hr_present,{age_s=0.0}
6.0,CADENCE,65,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
6.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=0.0, grade_display=0.0}"
6.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
7.0,SPEED,24.0,NEUTRAL,OK,near_reference,"{reference_kmh=24.0, age_s=0.0}"
7.0,POWER,170,NEUTRAL,OK,power_present,{age_s=0.0}
7.0,HR,135,NEUTRAL,OK,hr_present,{age_s=0.0}
7.0,CADENCE,65,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
7.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=0.0, grade_display=0.0}"
7.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
8.0,SPEED,24.0,NEUTRAL,OK,near_reference,"{reference_kmh=24.0, age_s=0.0}"
8.0,POWER,170,NEUTRAL,OK,power_present,{age_s=0.0}
8.0,HR,135,NEUTRAL,OK,hr_present,{age_s=0.0}
8.0,CADENCE,65,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
8.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=0.0, grade_display=0.0}"
8.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
9.0,SPEED,24.0,NEUTRAL,OK,near_reference,"{reference_kmh=24.0, age_s=0.0}"
9.0,POWER,170,NEUTRAL,OK,power_present,{age_s=0.0}
9.0,HR,135,NEUTRAL,OK,hr_present,{age_s=0.0}
9.0,CADENCE,65,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
9.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=0.0, grade_display=0.0}"
9.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
10.0,SPEED,24.0,NEUTRAL,OK,near_reference,"{reference_kmh=24.0, age_s=0.0}"
10.0,POWER,170,NEUTRAL,OK,power_present,{age_s=0.0}
10.0,HR,135,NEUTRAL,OK,hr_present,{age_s=0.0}
10.0,CADENCE,65,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
10.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=0.0, grade_display=0.0}"
10.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
11.0,SPEED,24.0,NEUTRAL,OK,near_reference,"{reference_kmh=24.0, age_s=0.0}"
11.0,POWER,170,NEUTRAL,OK,power_present,{age_s=0.0}
11.0,HR,135,NEUTRAL,OK,hr_present,{age_s=0.0}
11.0,CADENCE,65,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
11.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=0.0, grade_display=0.0}"
11.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
12.0,SPEED,24.0,NEUTRAL,OK,near_reference,"{reference_kmh=24.0, age_s=0.0}"
12.0,POWER,170,NEUTRAL,OK,power_present,{age_s=0.0}
12.0,HR,135,NEUTRAL,OK,hr_present,{age_s=0.0}
12.0,CADENCE,65,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
12.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=0.0, grade_display=0.0}"
12.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
13.0,SPEED,24.0,NEUTRAL,OK,near_reference,"{reference_kmh=24.0, age_s=0.0}"
