t,field,value,color,status,reason,raw
0.0,SPEED,24.0,NEUTRAL,OK,near_reference,"{reference_kmh=24.0, age_s=0.0}"
0.0,POWER,140,NEUTRAL,OK,power_present,{age_s=0.0}
0.0,HR,120,NEUTRAL,OK,hr_present,{age_s=0.0}
0.0,CADENCE,60,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
0.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
0.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
1.0,SPEED,24.1,NEUTRAL,OK,near_reference,"{reference_kmh=24.0, age_s=0.0}"
1.0,POWER,141,NEUTRAL,OK,power_present,{age_s=0.0}
1.0,HR,121,NEUTRAL,OK,hr_present,{age_s=0.0}
1.0,CADENCE,61,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
1.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=0.0, grade_display=0.0}"
1.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
2.0,SPEED,24.1,NEUTRAL,OK,near_reference,"{reference_kmh=24.0, age_s=0.0}"
2.0,POWER,142,NEUTRAL,OK,power_present,{age_s=0.0}
2.0,HR,122,NEUTRAL,OK,hr_present,{age_s=0.0}
2.0,CADENCE,62,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
2.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=0.0, grade_display=0.0}"
2.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
3.0,SPEED,24.2,NEUTRAL,OK,near_reference,"{reference_kmh=24.0, age_s=0.0}"
3.0,POWER,143,NEUTRAL,OK,power_present,{age_s=0.0}
3.0,HR,123,NEUTRAL,OK,hr_present,{age_s=0.0}
3.0,CADENCE,63,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
3.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=0.0, grade_display=0.0}"
3.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
4.0,SPEED,24.2,NEUTRAL,OK,near_reference,"{reference_kmh=24.0, age_s=0.0}"
4.0,POWER,144,NEUTRAL,OK,power_present,{age_s=0.0}
4.0,HR,124,NEUTRAL,OK,hr_present,{age_s=0.0}
4.0,CADENCE,64,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
4.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=0.0, grade_display=0.0}"
4.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
5.0,SPEED,24.3,NEUTRAL,OK,near_reference,"{reference_kmh=24.0, age_s=0.0}"
5.0,POWER,145,NEUTRAL,OK,power_present,{age_s=0.0}
5.0,HR,125,NEUTRAL,OK,hr_present,{age_s=0.0}
5.0,CADENCE,65,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
5.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=0.0, grade_display=0.0}"
5.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
6.0,SPEED,24.3,NEUTRAL,OK,near_reference,"{reference_kmh=24.0, age_s=0.0}"
6.0,POWER,146,NEUTRAL,OK,power_present,{age_s=0.0}
6.0,HR,126,NEUTRAL,OK,hr_present,{age_s=0.0}
6.0,CADENCE,66,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
