t,field,value,color,status,reason,raw
0.0,SPEED,0.0,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
0.0,POWER,0,NEUTRAL,OK,power_present,{age_s=0.0}
0.0,HR,WAIT,GRAY,NO_DATA,missing_hr,{}
0.0,CADENCE,0,GRAY,OK,coasting_or_stopped,{age_s=0.0}
0.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
0.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
1.0,SPEED,0.0,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
1.0,POWER,0,NEUTRAL,OK,power_present,{age_s=0.0}
1.0,HR,81,NEUTRAL,OK,hr_present,{age_s=0.0}
1.0,CADENCE,0,GRAY,OK,coasting_or_stopped,{age_s=0.0}
1.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
1.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
2.0,SPEED,0.0,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
2.0,POWER,0,NEUTRAL,OK,power_present,{age_s=0.0}
2.0,HR,82,NEUTRAL,OK,hr_present,{age_s=0.0}
2.0,CADENCE,0,GRAY,OK,coasting_or_stopped,{age_s=0.0}
2.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
2.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
3.0,SPEED,0.0,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
3.0,POWER,0,NEUTRAL,OK,power_present,{age_s=0.0}
3.0,HR,83,NEUTRAL,OK,hr_present,{age_s=0.0}
3.0,CADENCE,0,GRAY,OK,coasting_or_stopped,{age_s=0.0}
3.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
3.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
4.0,SPEED,0.0,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
4.0,POWER,0,NEUTRAL,OK,power_present,{age_s=0.0}
4.0,HR,84,NEUTRAL,OK,hr_present,{age_s=0.0}
4.0,CADENCE,0,GRAY,OK,coasting_or_stopped,{age_s=0.0}
4.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
4.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
5.0,SPEED,0.0,AMBER,OK,below_reference,"{reference_kmh=24.0, age_s=0.0}"
5.0,POWER,0,NEUTRAL,OK,power_present,{age_s=0.0}
5.0,HR,85,NEUTRAL,OK,hr_present,{age_s=0.0}
