t,field,value,color,status,reason,raw
0.0,SPEED,24.0,NEUTRAL,OK,near_reference,"{reference_kmh=24.0, age_s=0.0}"
0.0,POWER,160,NEUTRAL,OK,power_present,{age_s=0.0}
0.0,HR,130,NEUTRAL,OK,hr_present,{age_s=0.0}
0.0,CADENCE,65,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
0.0,GRADE,WAIT,GRAY,NO_DATA,missing_grade,{}
0.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
1.0,SPEED,24.0,NEUTRAL,OK,near_reference,"{reference_kmh=24.0, age_s=0.0}"
1.0,POWER,160,NEUTRAL,OK,power_present,{age_s=0.0}
1.0,HR,130,NEUTRAL,OK,hr_present,{age_s=0.0}
1.0,CADENCE,65,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
1.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=0.0, grade_display=0.0}"
1.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
2.0,SPEED,24.0,NEUTRAL,OK,near_reference,"{reference_kmh=24.0, age_s=0.0}"
2.0,POWER,160,NEUTRAL,OK,power_present,{age_s=0.0}
2.0,HR,130,NEUTRAL,OK,hr_present,{age_s=0.0}
2.0,CADENCE,65,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
2.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=0.0, grade_display=0.0}"
2.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
3.0,SPEED,24.0,NEUTRAL,OK,near_reference,"{reference_kmh=24.0, age_s=0.0}"
3.0,POWER,160,NEUTRAL,OK,power_present,{age_s=0.0}
3.0,HR,130,NEUTRAL,OK,hr_present,{age_s=0.0}
3.0,CADENCE,65,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
3.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=0.0, grade_display=0.0}"
3.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
4.0,SPEED,24.0,NEUTRAL,OK,near_reference,"{reference_kmh=24.0, age_s=0.0}"
4.0,POWER,160,NEUTRAL,OK,power_present,{age_s=0.0}
4.0,HR,130,NEUTRAL,OK,hr_present,{age_s=0.0}
4.0,CADENCE,65,GREEN,OK,preferred_low_cadence_band,{age_s=0.0}
4.0,GRADE,0,NEUTRAL,OK,flat_deadband,"{grade_raw=0.0, grade_display=0.0}"
4.0,GEAR,WAIT,GRAY,NO_DATA,missing_gear,{}
